
FUNDAÇÃO GETULIO VARGAS
IBRE
Consulta Ins.Inf x Sugestão
Data :   01/06/2022

Data;Job Ins.Inf (atual);Item Ins.inf (atual);Cod.Ins.Inf (atual);Desc. Ins.Inf (atual);Unid.Medida Ins.Inf (atual);Cod.Ins.Inf (gerado);Dsc.Insumo (sugerido);Unid.Med.Insumo (sugerido);Classificação Ins.Inf (atual);Status MT Ins.Inf (atual);Observação;Justificativa Livre
02/05/2022;INFRAES_BR;299006;1534151;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557360;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;ALIATA;9946;1534149;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557361;BATATA INGLESA FRESCA OU REFRIGERADA  PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;INFRAES_BR;299006;1534149;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557361;BATATA INGLESA FRESCA OU REFRIGERADA  PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;INFRAES_RJ;299006;1534149;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557361;BATATA INGLESA FRESCA OU REFRIGERADA  PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;TCERJ_GA;284444;1534149;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557361;BATATA INGLESA FRESCA OU REFRIGERADA  PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;ALIATA;9946;1534150;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557362;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;INFRAES_BR;299006;1534150;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557362;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;INFRAES_RJ;299006;1534150;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557362;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;TCERJ_GA;284444;1534150;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557362;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;INFRAES_BR;299065;1533764;MILHO VERDE PROCESSADO  PREDILECTA LT 2;KG;1557363;MILHO VERDE PROCESSADO PREDILECTA LT 1.7 KG PREDILECTA LT 1.7;KG;MT com sugestão;Alteração de Característica / Especificação;;SR. MARCELO CONFIRMOU O VALOR ATUALIZADO PARA ABRIL DE 2022 SEM ALTERAÇÃO E A GRAMATURA CORRETA. LIGAÇÃO REALIZADA EM 28/04/22 AS 11:42.
02/05/2022;INFRAES_RJ;299065;1533764;MILHO VERDE PROCESSADO  PREDILECTA LT 2;KG;1557363;MILHO VERDE PROCESSADO PREDILECTA LT 1.7 KG PREDILECTA LT 1.7;KG;MT com sugestão;Alteração de Característica / Especificação;;SR. MARCELO CONFIRMOU O VALOR ATUALIZADO PARA ABRIL DE 2022 SEM ALTERAÇÃO E A GRAMATURA CORRETA. LIGAÇÃO REALIZADA EM 28/04/22 AS 11:42.
02/05/2022;EPECOMPON;211526;1037441;CAMINHÃO LEVE CARGO C-816 POT:162CV ENTRE EIXOS:3900MM CARGA+CARROC.:5080KG  FORD;UNID;1557378;CAMINHÃO LEVE 3/4 MOD.1116 FOTON CITYTRUCK 11-16  FORD UNID FORD;UNID;NC com sugestão;;;O informante alega que a Ford encerrou a fabricação de caminhões no pais e que por esse motivo eles trocaram a marca de comercialização na empresa. O mesmo indicou esse caminhão como o similar ao que estava sendo coletado. sendo assim segue sugestão
02/05/2022;SCOPRECO;278203;1501780;ARGAMASSA AUTONIVELANTE INTERNO TARKOMASSA  TARKETT  20;KG;1557379;ARGAMASSA AUTONIVELANTE INTERNO CINZA  AXTON 20 KG AXTON  20;KG;MT com sugestão;Alteração de Característica / Especificação;;
02/05/2022;SCOPRECO;11040;1402668;ANUETO EM FERRO FUNDIDO COM FURO DE 3/4" -  MOD.: C27  FUND.VESUV;UNID;1557380;ANUETO EM FERRO FUNDIDO COM FURO DE 3/4"  -  MOD.: C27  FUND.VESUV 20 UNID FUND.VESUV  20;KG;MT com sugestão;Alteração de Característica / Especificação;;foi feita a MT com o objetivo de adequação ao preço do frete
02/05/2022;CADTERC11;278631;1427910;COMPRESSOR DE AR DE PISTÃO ISENTO DE ÓLEO PARA USO MÉDICO-ODONTOLÓGICO - MODELO: CSV 20/250H - 60HZ - 5CV - 220V - POTÊNCIA: 3,7KW - CAPACIDADE: 250 LITROS  SCHULZ;UNID;1557382;COMPRESSOR DE AR COMPRESSOR DE AR DE PISTÃO CSL 40 BRAVO 250 LITROS 175 LIBRAS 10 CV TRIFÁSICO IP21 SCHULZ;UNID;NC com sugestão;Alteração de Característica / Especificação;;
02/05/2022;TCERJ_GA;284685;1533962;ABACAXI FRESCO OU REFRIGERADO MEDIO    2;UNID;1557383;ABACAXI FRESCO OU REFRIGERADO MEDIO;UNID;NC com sugestão;;GRAMATURA;GRAMATURA
02/05/2022;ALIATA;32269;1533962;ABACAXI FRESCO OU REFRIGERADO MEDIO    2;UNID;1557383;ABACAXI FRESCO OU REFRIGERADO MEDIO;UNID;NC com sugestão;;GRAMATURA;GRAMATURA
02/05/2022;TCERJ_GA;;1533963;ABACAXI FRESCO OU REFRIGERADO MEDIO    2;UNID;;;;NC sem sugestão;;GRAMATURA;GRAMATURA
02/05/2022;ALIATA;;1533963;ABACAXI FRESCO OU REFRIGERADO MEDIO    2;UNID;;;;NC sem sugestão;;GRAMATURA;GRAMATURA
02/05/2022;;;1547565;FILÉ DE PEIXE CAÇÃO EM POSTA CONGELADO, SEM PELE  FRESCATTO PCT 500;G;;;;MT sem sugestão;;MARCA;MARCA
02/05/2022;ALIATA;236315;1546904;BATATA BAROA (MANDIOQUINHA) FRESCA OU REFRIGERADA  TAMANHO MÉDIO   SCO 20;KG;1557384;BATATA BAROA (MANDIOQUINHA) FRESCA OU REFRIGERADA  TAMANHO MÉDIO  SCO 18;KG;NC com sugestão;;GRAMATURA;GRAMATURA
02/05/2022;ALIATA;236315;1546906;BATATA BAROA (MANDIOQUINHA) FRESCA OU REFRIGERADA  TAMANHO MÉDIO   SCO 20;KG;1557385;BATATA BAROA (MANDIOQUINHA) FRESCA OU REFRIGERADA TAMANHO MÉDIO  SCO 18;KG;NC com sugestão;;GRAMATURA;GRAMATURA
02/05/2022;ALIATA;236315;1546905;BATATA BAROA (MANDIOQUINHA) FRESCA OU REFRIGERADA  TAMANHO MÉDIO   SCO 20;KG;1557386;BATATA BAROA (MANDIOQUINHA) FRESCA OU REFRIGERADA  TAMANHO MÉDIO  SCO 18;KG;NC com sugestão;;GRAMATURA;GRAMATURA
02/05/2022;SICROCE;;1482596;RESERVATÓRIO  METÁLICO APOIADO TIPO TAÇA, COLUNA SECA, COM PINTURA EPÓXI INTERNA E EXTERNA, ESCADA DE ACESSO, CAPACIDADE DE 10.000 LITROS, ALTURA DA COLUNA 4,00M, ALTURA TOTAL 7,02M.  FIDO;PEÇA;;;;NC sem sugestão;;;
02/05/2022;IPA;202229101;1516155;AUTOMOVEL NOVO MOBI EASY 1.0 FLEX 3 PORTAS - 2021/2022 - 8V BI-COMBUSTÍVEL - S/ACESSÓRIOS - PINTURA SÓLIDA - CÓD.: 341A4X0  FIAT;UNID;1557414;AUTOMOVEL NOVO MOBI TREKKING 1.0 FLEX 4 PORTAS - 2022/2023 - 8V BI-COMBUSTÍVEL - S/ACESSÓRIOS - PINTURA SÓLIDA - CÓD.: 341ABZ.0 FIAT;UNID;MT com sugestão;;;
02/05/2022;SIA2;2050;1429027;AUTOMOVEL NOVO GRAND SIENA ATTRACTIVE 1.0 8V FLEX 4 PORTAS - ANO/MODELO: 2020/2021 - BASICO SEM ACESSÓRIOS - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - CÓD.: 19713N0  FIAT;UNID;1557415;AUTOMOVEL NOVO CRONOS 1.3 16V FLEX 4 PORTAS - ANO/MODELO: 2021/2022 - AR CONDICIONADO - DIREÇÃO ELÉTRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - CÓD.: 359 A0D.0 FIAT;UNID;MT com sugestão;;;
02/05/2022;IPA;202229101;1429027;AUTOMOVEL NOVO GRAND SIENA ATTRACTIVE 1.0 8V FLEX 4 PORTAS - ANO/MODELO: 2020/2021 - BASICO SEM ACESSÓRIOS - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - CÓD.: 19713N0  FIAT;UNID;1557415;AUTOMOVEL NOVO CRONOS 1.3 16V FLEX 4 PORTAS - ANO/MODELO: 2021/2022 - AR CONDICIONADO - DIREÇÃO ELÉTRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - CÓD.: 359 A0D.0 FIAT;UNID;MT com sugestão;;;
02/05/2022;IPA;202229101;1429026;AUTOMOVEL NOVO GRAND SIENA ESSENCE 1.4 8V FLEX 4 PORTAS - ANO/MODELO: 2020/2021 - CÂMBIO MANUAL - C/AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - CÓD.: 19713H0  FIAT;UNID;1557416;AUTOMOVEL NOVO PULSE DRIVE 1.3 8V FLEX 4 PORTAS - ANO/MODELO: 2021/2022 - CÂMBIO AUTOMÁTICO - C/AR CONDICIONADO - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - CÓD.: 363.A13.0 FIAT;UNID;MT com sugestão;Alteração de Característica / Especificação;;
02/05/2022;IPA;202229101;1362582;AUTOMÓVEL NOVO WEEKEND ADVENTURE 1.8 FLEX 16V ANO FABRICAÇÃO/MODELO: 18/19 - 4 PORTAS - BICOMBUSTÍVEL - C/AR CONDICIONADO - DIREÇÃO HIDRÁULICA - AIRBAG E FREIOS ABS - COD.: 37417D  FIAT;UNID;1557417;AUTOMÓVEL NOVO NOVA ESTRADA FREEDOM CS 1.3 FLEX 16V ANO/MODELO: 2021/2022 - 4 PORTAS - BICOMBUSTÍVEL - C/AR CONDICIONADO - DIREÇÃO HIDRÁULICA - AIRBAG E FREIOS ABS - COD.: 281.A3C.0 FIAT;UNID;MT com sugestão;;;
02/05/2022;IPA;202229101;1475417;AUTOMÓVEL NOVO UNO DRIVE 1.0 6V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO ELÉTRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - COD.: 195.B4N.2  FIAT;UNID;1557418;AUTOMÓVEL NOVO ARGO TREKKING 1.3 8V FLEX 2021/2022 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO ELÉTRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - COD.: 358.AGH.0 FIAT;UNID;MT com sugestão;Alteração de Característica / Especificação;;
02/05/2022;SIA2;2050;1475417;AUTOMÓVEL NOVO UNO DRIVE 1.0 6V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO ELÉTRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - COD.: 195.B4N.2  FIAT;UNID;1557418;AUTOMÓVEL NOVO ARGO TREKKING 1.3 8V FLEX 2021/2022 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO ELÉTRICA - AIRBAG - FREIOS ABS - PINTURA SÓLIDA - COD.: 358.AGH.0 FIAT;UNID;MT com sugestão;Alteração de Característica / Especificação;;
02/05/2022;SICROPR;;1480814;TACHA REFLETIVA BIDIRECIONAL COR: AMARELA - TIPO I  AVERY DENN;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROAC;;1490286;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROAL;;1490287;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROAM;;1490288;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROAP;;1490289;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROPA;;1490290;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICRORN;;1490291;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICRORO;;1490292;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICRORR;;1490293;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROTO;;1490294;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICRODF;;1490295;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROGO;;1490296;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROMS;;1490297;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROMT;;1490298;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROBA;;1490299;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROCE;;1490300;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROMA;;1490301;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROPB;;1490302;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROPE;;1490303;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROPI;;1490304;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROSE;;1490305;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROES;;1490306;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROMG;;1490307;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICRORJ;;1490308;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROSP;;1490309;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICRORS;;1490311;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;SICROSC;;1490312;TERMOPLÁSTICO PRÉ-FORMADO   MM SINALIZ  10;UNID;;;;NC sem sugestão;;;
02/05/2022;IPC;270135013;1551945;SABÃO EM BARRA NEUTRO  YPE PCT C/5BRR 180;G;1557420;SABÃO EM BARRA NEUTRO YPE BRR 180;G;NC com sugestão;;;
03/05/2022;IPC;;1557183;LIVRO FICÇÃO - O ZAHIR AUTOR: PAULO COELHO  PLANETA;UNID;1557428;LIVRO FICÇÃO - O ZAHIR AUTOR: PAULO COELHO PARALELA;UNID;NC com sugestão;;;
03/05/2022;IPC;420118129;1268043;MEDICAMENTO NORTRIPTILINA 25MG - PAMELOR 25MG  NOVARTIS CX 30;CAPS;1557429;MEDICAMENTO NORTRIPTILINA 25MG - PAMELOR 25MG CELLERA FA CX 30;CAPS;NC com sugestão;;;
03/05/2022;IPC;111927012;1480414;CARNE DE BOVINO MOIDA REFRIGERADA/CONGELADA MÚSCULO, DE SEGUNDA;KG;1557430;CARNE DE BOVINO MOIDA REFRIGERADA/CONGELADA PALETE DE SEGUNDA;KG;NC com sugestão;;;
03/05/2022;IPC;;1518393;ALIMENTO SEMI-PRONTO CONGELADO CAPELETTI DE FRANGO  CONFIARE PCT 400;G;;;;NC sem sugestão;;;
03/05/2022;IPC;113603028;1479537;AGUARDENTE DE CANA-DE-AÇUCAR 21  PIRASSUNUN GFA 965;ML;1557432;AGUARDENTE DE CANA-DE-AÇUCAR DE CANA-DE-AÇUCAR - 51 PIRASSUNUN LT 350;ML;NC com sugestão;;;
03/05/2022;O-GRUPOS;217;1518051;GRUPO DE GERADOR COM QUADRO DIESEL AUTOMATICO CARENADO SILENCIADO POT:40/36KVA - 1800RPM - 60HZ - TENSÃO:220V C/MOTOR PERKING - 1103A-33G  STEMAC;UNID;1557434;GRUPO DE GERADOR  COM QUADRO DIESEL AUTOMATICO CARENADO SILENCIADO POT:42/36KVA - 1800RPM - 60HZ - TENSÃO:220V C/MOTOR PERKING - 1103A-33G  STEMAC UNID STEMAC;UNID;MT com sugestão;;;VALOR/INCIDENCIAS ATUALIZADOS PARA MAIO DE 2022 CONFORME TABELA . (DISPARO).
03/05/2022;IPA;202227102;1518051;GRUPO DE GERADOR COM QUADRO DIESEL AUTOMATICO CARENADO SILENCIADO POT:40/36KVA - 1800RPM - 60HZ - TENSÃO:220V C/MOTOR PERKING - 1103A-33G  STEMAC;UNID;1557434;GRUPO DE GERADOR  COM QUADRO DIESEL AUTOMATICO CARENADO SILENCIADO POT:42/36KVA - 1800RPM - 60HZ - TENSÃO:220V C/MOTOR PERKING - 1103A-33G  STEMAC UNID STEMAC;UNID;MT com sugestão;;;VALOR/INCIDENCIAS ATUALIZADOS PARA MAIO DE 2022 CONFORME TABELA . (DISPARO).
03/05/2022;IPC;270111018;1541582;DESINFETANTE   VEJA FCO 500;ML;1557433;DESINFETANTE  OMO FCO 500;ML;MT com sugestão;;NAO TEM;NAO TEM
03/05/2022;EPEPRECO;278384;1323962;PNEU DE BORRACHA PARA FORA DE ESTRADA 14.00-24 SGG L2 -16 LONAS  WEST LAKE;UNID;1557435;PNEU DE BORRACHA PARA FORA DE ESTRADA  14.00-24 16 LONAS MOD.: MG2402 TL  MRL UNID MRL;UNID;MT com sugestão;Alteração de Característica / Especificação,Alteração de marca;;Empresa não comercializa mais o item. Contato Marcelo informou novo item para acompanharmos.
03/05/2022;IPC;111103008;1543747;AÇUCAR CRISTAL   IMPERIAL PCT 5;KG;1557436;AÇUCAR CRISTAL  UNIAO PCT 5;KG;MT com sugestão;;PROD.INDISP.;PROD.INDISP.
03/05/2022;IPC;;740360;ARROZ POLIDO LONGO FINO TIPO 1  TIO JORGE PCT 5;KG;;;;MT sem sugestão;;PROD. INDISP.;PROD. INDISP.
03/05/2022;IPC;270111019;1542743;DESINFETANTE PINHO  VEJA FCO 480;ML;1557437;DESINFETANTE PINHO OMO FCO 500;ML;MT com sugestão;;PROD. INDISP.;PROD. INDISP.
03/05/2022;IPC;260325005;1543099;CONJUNTO DE COPOS DE VIDRO MODELO: ÓPERA LONG DRINK - COM 6 PEÇAS - 360ML  NADIR;UNID;1557438;COPO DE VIDRO PARA AGUA, MOD.: BATUQUE - CAP.: 265ML NADIR FIGU EMB 6;UNID;MT com sugestão;;PROD.INDISP.;PROD.INDISP.
03/05/2022;IPC;;1551294;NOTEBOOK 2 EM 1 MOD.: LEGACY BOOK (PC112) -  PROCESSADOR INTEL CELERON - HD: 64GB - MEMÓRIA RAM: 2GB - WINDOWS 10 - TELA DE 11.6" TOUCH FULL HD  MULTILASER  10;UNID;;;;MT sem sugestão;;PROD.INDISP.;PROD.INDISP.
